protocol,dataset_or_direction,outer_test_participant,path,original_feature_count,constant_feature_count,duplicate_feature_count,retained_feature_count,expected_candidate_count,observed_candidate_count,training_participants,validation_participants,test_participants,training_recordings,validation_recordings,test_recordings,training_windows,validation_windows,test_windows,role_contract_passed
within_experiment,experiment3,experiment3::sub-27,ECG,16,0,0,16,2,2,12,3,1,144,36,12,20970,5046,1775,True
within_experiment,experiment3,experiment3::sub-29,ECG,16,0,0,16,2,2,12,3,1,144,36,12,20765,5184,1842,True
within_experiment,experiment3,experiment3::sub-31,ECG,16,0,0,16,2,2,12,3,1,144,36,12,20517,5432,1842,True
cross_experiment,experiment2_to_experiment3,,ECG,16,0,0,16,2,2,16,4,16,160,40,192,19232,4808,27791,True
cross_experiment,experiment3_to_experiment2,,ECG,16,0,0,16,2,2,13,3,20,156,36,200,22382,5409,24040,True
within_experiment,experiment2,experiment2::sub-01,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-02,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-03,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-05,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-07,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-09,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-12,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-13,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-14,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-15,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-16,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-19,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-20,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
within_experiment,experiment2,experiment2::sub-21,Pupil,23,0,2,21,4,4,15,4,1,150,40,10,18030,4808,1202,True
