duration_seconds,scientific_role,analysis_type,dataset_or_direction,path,participants,recordings,pooled_accuracy,pooled_balanced_accuracy,pooled_macro_f1,pooled_roc_auc,pooled_pr_auc,participant_macro_accuracy,participant_macro_balanced_accuracy,participant_macro_macro_f1,participant_macro_roc_auc,participant_macro_pr_auc,pooled_balanced_accuracy_ci_lower,pooled_balanced_accuracy_ci_upper,pooled_macro_f1_ci_lower,pooled_macro_f1_ci_upper,participant_macro_balanced_accuracy_ci_lower,participant_macro_balanced_accuracy_ci_upper,participant_macro_macro_f1_ci_lower,participant_macro_macro_f1_ci_upper,threshold_values,summary_sha256,bootstrap_sha256,all_numerical_checks_passed,descriptive_rank_within_setting,temporal_role,primary_four_second_392_recording_analysis_replaced,reference_04s_balanced_accuracy,reference_04s_macro_f1,reference_04s_roc_auc,reference_04s_pr_auc,delta_balanced_accuracy_vs_04s,delta_macro_f1_vs_04s,delta_roc_auc_vs_04s,delta_pr_auc_vs_04s,temporal_descriptive_rank_within_setting_duration
24,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG,16,187,0.636363636363636,0.634897025171625,0.632570503929727,0.637757437070938,0.627712620606018,0.631392045454545,0.6375,0.536460720651897,0.760763888888889,0.822793034511784,0.550053503957549,0.728306637979122,0.535022555305278,0.724977669625276,0.557291666666667,0.726093749999999,0.419098548510313,0.662357238349885,0.5,19f2703719b51e3250b4ad715bf5b64e482b6d26b53ea95174375764d0dde98a,7de2b0c1a6528c868d5979969b14da50046b8685a8185c2ce63dc4712765ad4b,True,2,post_primary_temporal_sensitivity,False,0.643020594965675,0.621039056742815,0.654805491990847,0.631992783646816,-0.00812356979404993,0.011531447186912,-0.017048054919909,-0.00428016304079804,2
24,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG_Pupil,16,187,0.636363636363636,0.634725400457666,0.631719184430028,0.719679633867277,0.73915394533593,0.635653409090909,0.626041666666667,0.539431493751347,0.825347222222222,0.859018007455507,0.562329753589356,0.721934776457272,0.547819057196107,0.718265390072482,0.554166666666667,0.713541666666667,0.440985316001401,0.653020429325576,0.4,ab2fec798bcd3fbba72f8cccfbd82bd855d517b2c3fc8473b6bb812927c18f54,70ec0ba041082ec595410e12adf417da4100d4fb09588d5c6760376db890aa4c,True,3,post_primary_temporal_sensitivity,False,0.645823798627002,0.618634523483396,0.667505720823799,0.680814433858611,-0.011098398169336,0.013084660946632,0.052173913043478,0.0583395114773191,3
24,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,Pupil,16,187,0.572192513368984,0.575171624713959,0.558441558441558,0.647940503432494,0.630299240637811,0.568418560606061,0.578125,0.480915530547883,0.787847222222222,0.833313416907167,0.493642446611077,0.660472861842105,0.455286476110896,0.652243682588047,0.5,0.661458333333333,0.388339142475172,0.587545963534015,0.5,8ecbc3f9bb937a86530b452d21f0b5bdc18df6c7e599bd4a9348edf62f241057,3c0ac0959cf86b022b2d1f7163c64eeecb1691bc9a2b10acb3a853cc5688e3d7,True,4,post_primary_temporal_sensitivity,False,0.567276887871854,0.52489837398374,0.704576659038902,0.683849112820818,0.00789473684210495,0.033543184457818,-0.056636155606408,-0.053549872183007,4
24,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG,16,187,0.566844919786096,0.565961098398169,0.56505384063173,0.631235697940503,0.652746054115342,0.567945075757576,0.561458333333333,0.457147754206578,0.726388888888889,0.795001728595478,0.505208333333333,0.644040582298967,0.494447342900848,0.640886651373055,0.504166666666667,0.638541666666667,0.370793067226891,0.562127266116237,0.6,bb68e5a957ad00da452c4b3ddb3c979ad7aa9fce105cac6ea504e4bc2d06bae4,1cd4a40c5b8fbc5c1288a82f238664ff64cda83a918c93e7469f76242cbfac72,True,5,post_primary_temporal_sensitivity,False,0.631979405034325,0.604601990049751,0.672654462242563,0.640927185095736,-0.066018306636156,-0.039548149418021,-0.0414187643020599,0.011818869019606,5
24,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_Pupil,16,187,0.550802139037433,0.553432494279176,0.539732770745429,0.614988558352403,0.661137015563117,0.551846590909091,0.546875,0.419310162876339,0.854513888888889,0.880148584054834,0.509702576754386,0.617130325814536,0.4517727029438,0.608859538833511,0.505208333333333,0.609375,0.352938441001401,0.509787845426632,0.4,b31d8ef9f5b5028e83c037bf094657d55d13a83ecf8942c37d13399f20a23524,1cc9e918d70443df10c543c6f7ea59a5ba2fc6a1430a57da9b39766f14635b35,True,6,post_primary_temporal_sensitivity,False,0.556121281464531,0.556098956098956,0.569679633867277,0.604131955094039,-0.00268878718535503,-0.016366185353527,0.0453089244851259,0.0570050604690779,6
24,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG,16,187,0.508021390374332,0.506864988558352,0.504835367257656,0.492677345537757,0.538274196671238,0.510179924242424,0.505208333333333,0.377647092490842,0.484375,0.627227257696008,0.448279462242563,0.557291666666667,0.432578556143267,0.553681537224138,0.447916666666667,0.552083333333333,0.321184820081879,0.437838356496445,0.3,422276fa81bc602ad3ad918164f3fb238bbc77a64f34e26354e3c273f554462e,be70a7ea7fac14a161fddddc2c03ba680125786239ac0fe397c792b09d3a96b4,True,7,post_primary_temporal_sensitivity,False,0.510983981693364,0.492207792207792,0.525858123569794,0.537727203331081,-0.00411899313501196,0.012627575049864,-0.033180778032037,0.000546993340156954,7
32,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG_Pupil,16,187,0.6524064171123,0.650514874141876,0.646585060913558,0.671281464530892,0.64021377741162,0.651751893939394,0.641666666666667,0.5668211996337,0.832986111111111,0.866518683862434,0.575591713659148,0.731092616941589,0.55476060369503,0.729137276180141,0.56875,0.723958333333333,0.464585084033613,0.674793417366947,0.4,8a1e12189d5f15dc315433958198dc28290495700ff70fc84eab346ac9aae111,7438375dc79b43a51f77e766e09a51348f0a04ec0a09dab1c20b5b0a9d1b78be,True,1,post_primary_temporal_sensitivity,False,0.597254004576659,0.573059360730594,0.694965675057208,0.69138999908484,0.053260869565217,0.073525700182964,-0.023684210526316,-0.05117622167322,1
32,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,EEG,16,187,0.647058823529412,0.644565217391304,0.637085391672548,0.677231121281465,0.660690571572892,0.649147727272727,0.65,0.567523101898102,0.828125,0.877217487373737,0.566044635546485,0.731180579684325,0.531926117775354,0.728441784270593,0.572916666666667,0.733333333333333,0.461044183298319,0.682145596437876,0.5,acd4fbdc208f0c94f840c7053d6c49fb0e4d9e4275c1a17b2ee528093da51036,8801a5f285cbc86f2055d4ecf466fdd3501e6c3ecab01caa74873faf42509d19,True,2,post_primary_temporal_sensitivity,False,0.643020594965675,0.621039056742815,0.654805491990847,0.631992783646816,0.00154462242562903,0.016046334929733,0.022425629290618,0.028697787926076,2
32,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG_Pupil,16,187,0.641711229946524,0.640160183066361,0.63756544881252,0.702745995423341,0.726047635353261,0.641335227272727,0.633333333333333,0.544197928297193,0.823611111111111,0.856260897667148,0.562941477189737,0.727508798457838,0.550720867441275,0.724607556227789,0.558307291666667,0.721875,0.439129497953027,0.661315988698801,0.4,de53436e6d2fbe0e0989d09c3b416ace701e3aa6d7cc316c1fd6135c68dfa561,961223ecd41768515a185d2370379e921e071ead18a99ebb21cae5f8ece79fea,True,3,post_primary_temporal_sensitivity,False,0.645823798627002,0.618634523483396,0.667505720823799,0.680814433858611,-0.00566361556064099,0.018930925329124,0.035240274599542,0.04523320149465,3
32,post_primary_temporal_sensitivity,cross_experiment,experiment2_to_experiment3,ECG_EEG,16,187,0.572192513368984,0.572597254004577,0.5720823798627,0.643935926773455,0.632440809751304,0.576704545454546,0.579166666666667,0.485869599150849,0.744791666666667,0.813291771885522,0.513541666666667,0.642653395658715,0.505693217269448,0.640642924938453,0.515625,0.653125,0.400227792912765,0.583794989604962,0.7,ea0bd0f28ac3f4918bc1b51ff27d4b63615dd79a8fbbe070d5dfe6d82ef704b3,377f66e26c827a5536a547c7c5d82103220a10815b302097385db1ccec4bcad2,True,4,post_primary_temporal_sensitivity,False,0.631979405034325,0.604601990049751,0.672654462242563,0.640927185095736,-0.0593821510297481,-0.032519610187051,-0.028718535469108,-0.00848637534443197,4
