protocol,evaluation,target_dataset,path,participants,recordings,windows,recording_accuracy,recording_balanced_accuracy,recording_balanced_accuracy_ci_lower,recording_balanced_accuracy_ci_upper,recording_macro_f1,recording_macro_f1_ci_lower,recording_macro_f1_ci_upper,recording_roc_auc,recording_pr_auc,participant_macro_balanced_accuracy,participant_macro_balanced_accuracy_ci_lower,participant_macro_balanced_accuracy_ci_upper,participant_macro_f1,participant_macro_f1_ci_lower,participant_macro_f1_ci_upper,window_balanced_accuracy_descriptive,window_macro_f1_descriptive,window_roc_auc_descriptive,window_pr_auc_descriptive,task_macro_balanced_accuracy_descriptive,task_macro_f1_descriptive,unique_selected_models,unique_selected_top_k,unique_selected_thresholds
cross_experiment,experiment3_to_experiment2,experiment2,ECG_Pupil,20,200,24040,0.555,0.555,0.5,0.625,0.5312705727452272,0.4456737218573375,0.6107080563209384,0.5939,0.6098621541353524,0.5549999999999999,0.5,0.625,0.4481074481074482,0.371106671106671,0.5397619047619048,0.5410149750415973,0.5233656682915041,0.5852658976580907,0.5796950603422499,0.5549999999999999,0.5298962826040978,1,1,1
cross_experiment,experiment3_to_experiment2,experiment2,EEG,20,200,24040,0.605,0.605,0.53,0.6799999999999999,0.6045155315261195,0.5219110230401529,0.6798719487795117,0.6058,0.5941468867996489,0.605,0.5299999999999999,0.68,0.5330069930069931,0.4379431852869353,0.6291848013098013,0.5548252911813644,0.5543961920634605,0.5750595444087918,0.556633244319861,0.605,0.6042751747370072,1,1,1
cross_experiment,experiment3_to_experiment2,experiment2,EEG_Pupil,20,200,24040,0.545,0.5449999999999999,0.505,0.595,0.5322659402225591,0.4612391499551033,0.5849896247406186,0.6175999999999999,0.6196289705481675,0.545,0.505,0.595,0.4207639582639582,0.358080808080808,0.4939088689088688,0.5569883527454242,0.547270997187643,0.6034173493428867,0.5871641985374199,0.5449999999999999,0.5312057808630699,1,1,1
cross_experiment,experiment3_to_experiment2,experiment2,Pupil,20,200,24040,0.615,0.615,0.54,0.7,0.5997816991086047,0.5016102580306372,0.6916019808038799,0.6761999999999999,0.6695047842540187,0.615,0.54,0.7,0.5209519647019648,0.4227329441391941,0.6338518946331447,0.5767054908485857,0.5694250482466132,0.615471624524849,0.5968352469182738,0.615,0.5962922313339121,1,1,1
within_experiment,experiment2,experiment2,ECG,20,200,24040,0.525,0.525,0.4499999999999999,0.6000000000000001,0.4891237127261971,0.3732193732193732,0.5907928388746804,0.52145,0.5524449915704234,0.525,0.45,0.6,0.3891941391941391,0.3009157509157508,0.4950549450549451,0.5330282861896838,0.5063763415494392,0.5216951088175281,0.5275795963287476,0.525,0.4890169033130493,2,1,5
within_experiment,experiment2,experiment2,ECG_EEG,20,200,24040,0.55,0.55,0.51,0.595,0.5366079703429101,0.4645001531411268,0.5904164001752126,0.5527,0.563260324509854,0.5499999999999999,0.51,0.595,0.4239323176823177,0.3598901098901098,0.4987557754745254,0.5274542429284526,0.5217652210436667,0.5536271078983723,0.5388017773699378,0.55,0.5366066113603797,2,4,4
within_experiment,experiment2,experiment2,ECG_EEG_Pupil,20,200,24040,0.6,0.6,0.5349999999999999,0.6799999999999999,0.595959595959596,0.5198026803253237,0.6731615336266499,0.6798000000000001,0.6593214135689804,0.6,0.5349999999999999,0.6799999999999999,0.481030081030081,0.386080586080586,0.5879897879897881,0.5871464226289518,0.5857755054765116,0.6455797776030521,0.6308383379319417,0.6,0.5951036497377962,2,4,5
within_experiment,experiment2,experiment2,ECG_Pupil,20,200,24040,0.515,0.515,0.44,0.59,0.501426331885585,0.408630057681025,0.5789995326496769,0.6118999999999999,0.5964703664191522,0.5149999999999999,0.44,0.59,0.3835164835164835,0.3095238095238094,0.4723809523809518,0.5352745424292845,0.5263603829987358,0.6000053605887028,0.5724187610960544,0.515,0.501343339665359,2,2,5
within_experiment,experiment2,experiment2,EEG,20,200,24040,0.575,0.575,0.53,0.63,0.5749043534795328,0.5219204557013528,0.6262626262626263,0.6496,0.6486946536953158,0.5750000000000001,0.53,0.63,0.4656308968808968,0.3916629897879897,0.5471367174492174,0.5699251247920134,0.569882612563213,0.6054232234960589,0.589177877358898,0.575,0.5739376883279322,2,4,5
within_experiment,experiment2,experiment2,EEG_Pupil,20,200,24040,0.59,0.5900000000000001,0.53,0.665,0.5896306676008407,0.51955918980929,0.662575584398663,0.6524,0.6424542898554568,0.59,0.53,0.6649999999999999,0.4752927627927629,0.3853937728937728,0.5769910644910645,0.5690515806988352,0.5684707112687829,0.631946755407654,0.6114505622081939,0.59,0.5888645083498354,2,4,5
within_experiment,experiment2,experiment2,Pupil,20,200,24040,0.595,0.595,0.53,0.6699999999999999,0.5937711577522005,0.5248924078871183,0.6649262834556535,0.65555,0.6208735307428269,0.595,0.53,0.6699999999999999,0.5027783327783328,0.4169770784770785,0.6000595793095793,0.5889767054908486,0.5889751344232019,0.6144798983114664,0.5762223615566436,0.595,0.5930354227144985,2,2,5
within_experiment,experiment3,experiment3,ECG,16,192,27791,0.5,0.5,0.4270833333333333,0.5625,0.4748717948717949,0.3761755640175052,0.5469561113732893,0.4898003472222222,0.5044918572144645,0.5,0.4270833333333333,0.5625,0.3713459742871507,0.3055566329095741,0.4492763772175536,0.4992021829872183,0.4792925590474222,0.4867100567784086,0.5070125477615994,0.5,0.4744399460188934,2,1,5
within_experiment,experiment3,experiment3,ECG_EEG,16,192,27791,0.625,0.625,0.546875,0.7135416666666667,0.623979980415624,0.536631533191428,0.710089190417655,0.6703559027777778,0.6803453477765882,0.625,0.546875,0.7135416666666667,0.516853459040959,0.4059523809523809,0.640259506118881,0.5742058230276632,0.5738152118896229,0.6331034948536466,0.6394109299487724,0.625,0.6237312412408924,2,4,5
within_experiment,experiment3,experiment3,ECG_EEG_Pupil,16,192,27791,0.6302083333333334,0.6302083333333334,0.5572916666666666,0.7135416666666667,0.63011803011803,0.548951048951049,0.7122223736203843,0.6759982638888888,0.6472820600734166,0.6302083333333333,0.5572916666666666,0.7135416666666666,0.5360616609697492,0.4292957841280452,0.6515631200396825,0.5932669000025925,0.5931059164775067,0.6344082004614866,0.6164016203239597,0.6302083333333334,0.6291495166846864,2,4,5
within_experiment,experiment3,experiment3,ECG_Pupil,16,192,27791,0.5833333333333334,0.5833333333333333,0.53125,0.6458333333333333,0.5804195804195804,0.5124770160231154,0.6426929392446634,0.6304253472222222,0.6052358614810533,0.5833333333333333,0.53125,0.6458333333333333,0.4818788441950206,0.4007790616246498,0.5729161731344636,0.5771212698659615,0.5747644110709988,0.5976751886132068,0.5770730183740431,0.5833333333333334,0.5792875776028353,2,2,4
within_experiment,experiment3,experiment3,EEG,16,192,27791,0.5260416666666666,0.5260416666666666,0.4583333333333333,0.5989583333333333,0.5203031051807924,0.4313003806646896,0.5933528836754643,0.596896701388889,0.5934283726334506,0.5260416666666666,0.4583333333333333,0.5989583333333333,0.4007440476190476,0.3197916666666666,0.4952380952380952,0.54380216743149,0.5402581454270502,0.5855272199320734,0.5749910740051313,0.5260416666666666,0.5194986767409285,2,4,5
within_experiment,experiment3,experiment3,EEG_Pupil,16,192,27791,0.6145833333333334,0.6145833333333333,0.5572916666666667,0.6770833333333333,0.6145415084102008,0.5519314718721686,0.6714436237567569,0.6748046875,0.652297747010123,0.6145833333333334,0.5572916666666667,0.6770833333333333,0.523656337535014,0.4367165616246498,0.6160723039215685,0.5825635166316663,0.5824123819063767,0.6262449042026393,0.6118990091168619,0.6145833333333334,0.6131099668269235,2,4,4
within_experiment,experiment3,experiment3,Pupil,16,192,27791,0.609375,0.609375,0.5572916666666666,0.6770833333333334,0.6036879042245769,0.5405104994015886,0.6703638097833492,0.7460937500000001,0.7674655773961554,0.609375,0.5572916666666666,0.6770833333333333,0.5219349686261452,0.4381856909430438,0.6146060485674455,0.5980851598351092,0.5970314485846593,0.6482191853983563,0.6459589038659891,0.609375,0.601976976976977,2,2,3
